movie_title,gross,total_gross,theaters
Keanu,20591853,20591853,2681
Middle School: The Worst Years of My Life,20007149,20007149,2822
Nine Lives,19700032,19700032,2264
Race,19206207,19206207,2387
Spotlight,19131897,45055776,1227
Brooklyn,18758748,38322743,962
The Choice,18730891,18730891,2631
Eye in the Sky,18704595,18704595,1089
Bad Santa 2,17710126,17782178,2945
Masterminds,17368022,17368022,3042
Concussion,17122105,34542474,2841
Norm of the North,17062499,17062499,2411
The Birth of a Nation,15861566,15861566,2105
Eddie the Eagle,15789389,15789389,2044
The Infiltrator,15436808,15436808,1601
Keeping Up with the Joneses,14904426,14904426,3022
Criminal,14708696,14708696,2683
Hello My Name Is Doris,14444999,14444999,979
The Edge of Seventeen,14394402,14431633,1945
Love & Friendship,14016568,14016568,826
Point Break,13197946,28782481,2910
Hillarys America: The Secret History of the Democratic Party,13099931,13099931,1217
Triple 9,12639297,12639297,2205
The Light Between Oceans,12545979,12545979,1500
Moonlight,12489099,27854932,1564
The Good Dinosaur,12370650,123087120,3749
The Hunger Games: Mockingjay - Part 2,12154781,281723902,4175
Fifty Shades of Black,11686940,11686940,2075
No manches Frida,11528613,11528613,465
Café Society,11103205,11103205,631
Pride and Prejudice and Zombies,10938134,10938134,2931
The Darkness,10753574,10753574,1769
Creed,10382416,109767581,3502
Nocturnal Animals,10107726,10663357,1262
The Lady in the Van,9973503,10021175,602
Room,9816901,14677654,862
The Perfect Match,9669521,9669521,925
Popstar: Never Stop Never Stopping,9639125,9639125,2313
Hardcore Henry,9252038,9252038,3015
Meet the Blacks,9097072,9097072,1015
Carol,8910357,12711491,790
Queen of Katwe,8850753,8874389,1259
Ratchet & Clank,8821329,8821329,2895
The Lobster,8700374,8700374,560
Dangal,8354643,12391761,338
A Beautiful Planet,8222609,15650615,155
The Wild Life,8005586,8005586,2493
Loving,7456108,7751969,572
Shut In,6894711,6900335,2058
The Brothers Grimsby,6874837,6874837,2235
The Danish Girl,6607578,11114018,794
The Young Messiah,6490401,6490401,1769
Jackie,6469725,13960394,508
Southside with You,6304223,6304223,897
Captain Fantastic,5879835,5879835,550
Sultan,5599781,6200000,283
Lion,5303700,51738905,1802
Hunt for the Wilderpeople,5205468,5205468,200
Bleed for This,5083906,5083906,1549
Incarnate,4799774,4799774,1737
Absolutely Fabulous: The Movie,4772155,4772155,355
Hands of Stone,4712792,4712792,2011
Dont Think Twice,4417667,4417667,175
The Meddler,4367218,4267218,464
Ae Dil Hai Mushkil,4264983,4264983,302
A Hologram for the King,4212494,4212494,523
Swiss Army Man,4210454,4210454,636
45 Years,4105637,4247285,251
Denial,4073490,4073489,648
Morgan,3915251,3915251,2020
Kabali,3903095,3903095,236
The Man Who Knew Infinity,3866794,3866794,288
Where to Invade Next,3827261,3827261,308
Max Steel,3818664,3818664,2034
Batman: The Killing Joke,3775000,3775000,1325
Midnight Special,3712282,3712282,521
Anomalisa,3683876,3759286,573
Rules Dont Apply,3652206,3652206,2386
Miss Sloane,3484995,3500605,1648
Indignation,3401155,3401155,317
Everybody Wants Some!!,3400278,3400278,454
Maggies Plan,3351735,3351735,335
A Man Called Ove,3333992,3479315,194
Sing Street,3237118,3237118,525
The Mermaid,3232685,3232685,106
Green Room,3220371,3220371,777
Our Kind of Traitor,3153157,3153157,399
Compadres,3127773,3127773,368
The Martian,3088310,228433663,3854
The Other Side of the Door,3000342,3000342,585
Spectre,2972024,200074609,3929
Anthropoid,2964845,2964845,452
The Beatles: Eight Days a Week - The Touring Years,2916808,2930414,155
The Oscar Nominated Short Films 2016: Live Action,2816816,2816816,260
Ip Man 3,2679437,2679437,115
Miles Ahead,2610896,2610896,527
Kapoor & Sons,2607036,2607036,153
The Disappointments Room,2423468,2423468,1554
Hillsong: Let Hope Rise,2394386,2394386,816
Dear Zindagi,2376479,2376479,156
A Aa,2313043,2313043,115
Fan,2300000,2300000,307
WARx2,2270921,2310625,16
The Eagle Huntress,2162939,3169351,122
Train to Busan,2125786,2129768,36
Im Not Ashamed,2082980,2082980,516
A Bigger Splash,2024099,2024099,378
The Dressmaker,2022115,2022115,174
Desierto,2002036,2002036,168
Greater,2000093,2000093,340
Hidden Figures,1986956,169607287,3416
Demolition,1978592,1978592,862
In the Heart of the Sea,1957373,25020758,3103
The Peanuts Movie,1942827,130178411,3902
Shin Godzilla,1918403,1918403,490
The Handmaiden,1873592,2006788,125
Purple Rain,1868075,1868075,87
Bridge of Spies,1865978,72313754,2873
M.S. Dhoni: The Untold Story,1801550,1801550,256
Find a Boyfriend for My Wife... PLEASE!,1741889,1741889,357
Billy Lynns Long Halftime Walk,1738477,1738477,1176
Harry  Potter IMAX Marathon,1729226,1729226,330
To Joey with Love,1709073,1709073,753
Weiner,1679915,1676108,88
Son of Saul,1651270,1777043,180
I Saw the Light,1646788,1646788,741
Equity,1605463,1605463,255
Neerja,1585687,1585687,121
Jane Got a Gun,1513793,1513793,1210
Priceless,1499605,1499605,303
Bajirao Mastani,1487033,6557047,304
Youth,1405917,2703296,149
Genius,1361045,1361045,152
The Little Prince,1339151,1339152,163
The Neon Demon,1333124,1333124,783
Embrace of the Serpent,1329249,1329249,93
Housefull 3,1326999,1326999,145
Mohenjo Daro,1264339,1264339,246
Krampus,1259765,42725475,2919
